PL_FOOTNOTE,ACK,PARAGRAPH_ACK,LONG_AFFILIATION,EMAIL,BOLD_ACK,LONG_ACK,vspace_bib,bref_size,cserver_size,js_style,nbPages,space,idConfiguration
False,True,False,False,False,False,False,1.37,0.73,0.86,\footnotesize,5,583.3127593994141,0
False,False,True,False,False,True,False,1.59,0.96,0.81,\scriptsize,5,659.0287704467773,1
True,True,True,False,False,True,True,4.55,0.85,0.67,\footnotesize,5,525.3297271728516,2
True,True,False,True,False,False,True,3.71,0.99,0.62,\footnotesize,5,550.4357452392578,3
False,False,True,False,False,False,True,4.92,0.9,0.63,\footnotesize,5,650.0617904663086,4
True,False,True,True,False,False,False,1.27,0.99,0.65,\scriptsize,5,625.1557846069336,5
False,True,False,False,False,False,True,4.28,0.76,0.85,\tiny,4,25.90374755859375,6
True,False,True,False,False,True,False,2.47,0.97,0.63,\scriptsize,5,659.0287704467773,7
False,False,False,False,False,False,False,1.98,0.96,0.68,\tiny,4,25.90374755859375,8
True,True,True,True,True,True,True,2.57,0.76,0.7,\scriptsize,5,600.2487335205078,9
True,True,True,False,False,False,True,4.22,0.75,0.64,\tiny,4,25.9036865234375,10
True,False,False,True,True,True,True,1.13,0.8,0.83,\footnotesize,5,516.3637237548828,11
True,True,True,True,True,True,True,3.97,0.89,0.65,\scriptsize,5,616.1887435913086,12
False,True,False,False,False,True,False,3.3,0.72,0.85,\footnotesize,5,591.2827301025391,13
False,True,True,False,True,False,False,4.63,0.84,0.65,\tiny,4,25.90374755859375,14
False,False,False,True,False,False,False,3.48,0.83,0.86,\scriptsize,5,659.0287704467773,15
True,False,False,True,False,True,True,1.53,0.82,0.76,\scriptsize,5,659.0287704467773,16
False,False,True,False,False,True,True,4.41,0.75,0.84,\tiny,4,25.9036865234375,17
True,False,True,False,False,False,True,3.8,1.0,0.82,\tiny,4,25.9036865234375,18
False,True,True,True,True,True,True,2.28,0.76,0.72,\scriptsize,5,641.0957870483398,19
False,False,False,False,True,True,True,4.27,0.73,0.81,\scriptsize,5,674.9687728881836,20
True,False,True,False,False,False,True,1.88,0.85,0.62,\tiny,4,25.9036865234375,21
False,False,True,True,False,True,False,2.01,0.84,0.85,\scriptsize,5,659.0287704467773,22
True,False,True,False,True,True,False,1.83,1.0,0.66,\footnotesize,5,550.4357452392578,23
True,False,True,False,False,False,True,3.2,0.99,0.79,\tiny,4,25.9036865234375,24
True,True,True,True,True,False,True,2.02,0.86,0.79,\footnotesize,5,499.1757354736328,25
False,False,True,True,True,False,False,1.69,0.92,0.76,\footnotesize,5,600.2487335205078,26
False,True,False,True,True,True,False,1.94,0.99,0.68,\footnotesize,5,591.2827301025391,27
True,False,True,True,False,False,True,4.88,0.86,0.85,\footnotesize,5,516.3637237548828,28
False,True,False,False,False,False,False,1.22,0.71,0.6,\tiny,4,25.90374755859375,29
False,True,True,False,True,False,True,1.3,0.97,0.64,\tiny,4,25.9036865234375,30
True,False,True,False,True,False,False,1.45,0.96,0.72,\scriptsize,5,625.1557846069336,31
True,True,True,True,True,False,False,1.93,0.89,0.65,\scriptsize,5,625.1557846069336,32
False,False,False,True,True,False,True,2.95,0.82,0.82,\footnotesize,5,600.2487335205078,33
False,True,True,True,True,False,False,4.05,0.96,0.74,\footnotesize,5,575.3417510986328,34
True,False,True,True,True,True,True,2.6,0.86,0.6,\tiny,4,25.90374755859375,35
